Iteration,MAE
0,0.010554192171361975
1,0.00890576963691895
2,0.008920432912761605
3,0.007928761271133958
4,0.007782744863212301
5,0.0067745930756132975
6,0.006696648782101831
7,0.006613330391676568
8,0.006619841839404247
9,0.006628296602111439
10,0.006563567495861448
11,0.0065809253718425165
12,0.006619821776443626
13,0.006611104194953017
14,0.006578367378429032
15,0.006566072980660909
16,0.0065755783425372775
17,0.006540970820110496
18,0.007997129554041664
19,0.007846017380186388
20,0.00777199065032582
21,0.007741227348490847
22,0.007803825208917029
23,0.007846134632979505
24,0.007787823634491426
25,0.0063821267937538605
26,0.006358861373736528
27,0.0063507347667259816
28,0.006346179316790638
29,0.006280404625395498
30,0.006167071074552902
31,0.0061359206176537975
32,0.006139903778834726
33,0.006117322733477714
34,0.006092491558321853
35,0.006048866612015624
36,0.006056997454340461
37,0.006074599613270363
38,0.006073872043399416
39,0.00606731609177737
40,0.003487034160244109
41,0.0039047996150839465
42,0.0038321105799332977
43,0.003824570453834078
44,0.0038024491813374557
45,0.003717309546707208
46,0.0037046559597007284
47,0.003688082712863374
48,0.00368167603592268
49,0.0036739371705972143
50,0.0036840641551506227
51,0.003683575948925131
