Iteration,MAE
0,0.022873633871382845
1,0.02135180770043468
2,0.02093985310821555
3,0.020859673513957372
4,0.02207233792445267
5,0.02101069059697426
6,0.02082122163481324
7,0.020827882886511277
8,0.02115246714788487
9,0.020513956325080882
10,0.0211516631371639
11,0.021095054565444797
12,0.02098606817037497
13,0.017559158174045696
14,0.009886710279823316
15,0.009823142268373308
16,0.009922366262168508
17,0.010117407360812791
18,0.010526659402291609
19,0.010189278164607206
20,0.008840866900264418
21,0.007674623424981148
22,0.0075659788433184464
23,0.007215089996761991
24,0.006476225265099227
25,0.0064786863387107955
26,0.0063903416719483025
27,0.006298815574253012
28,0.0061300444187977875
29,0.005886279816362692
30,0.005945061245014289
31,0.006022293940160897
32,0.005884305030276045
33,0.00573627509155454
34,0.005699828350803726
35,0.005609450112739858
36,0.004953474013755817
