Iteration,MAE
0,0.03403981862000227
1,0.02650590768681019
2,0.020257490477479878
3,0.0195991130481512
4,0.019535485917120884
5,0.017661068578439566
6,0.017732628201386807
7,0.017480404301836745
8,0.013139294152718186
9,0.013146363074043049
10,0.013327461850056276
11,0.012601147929816486
12,0.011953593034905686
13,0.011538089119506054
14,0.011337587944753636
15,0.011139630727219713
16,0.011162320959115212
17,0.010112326714992279
18,0.009946098043345956
19,0.009888184329763738
20,0.00983191867556325
21,0.009825987033070343
22,0.009698542050903763
23,0.009680887415274635
24,0.009697417299697421
25,0.009302399020516225
26,0.009124679591125897
27,0.00884076901450522
28,0.008589059731387435
29,0.008568450071416331
30,0.008554796286072397
31,0.008635497203119926
32,0.008734677121665911
33,0.00851332256697804
34,0.00793401848051555
35,0.007942922194857845
36,0.007890809036167354
37,0.007892743580776407
38,0.00788416162321699
39,0.00781970335179508
40,0.007708654839935598
41,0.007604104607474285
42,0.007533629140335292
43,0.007390663595060705
44,0.007376373615953349
45,0.007378403904261568
46,0.007386503928732322
47,0.007388901094244986
48,0.00736852515673373
49,0.007269211944336177
50,0.00712597473020911
51,0.007149776904821457
52,0.007245022793478168
53,0.007229047024732592
54,0.007172477621789748
55,0.0071678791795332635
56,0.007166797377410513
57,0.007143996858301034
58,0.0070428582742478795
59,0.0070086983731430744
60,0.006981757629907648
61,0.006945231615537291
62,0.006924371354785727
63,0.006347226806396924
64,0.006344094165627648
65,0.006345441720513493
66,0.006337648029573825
67,0.006304884124550263
68,0.006284146701329507
69,0.006227810447593698
70,0.006186473375901107
71,0.006171143010819563
72,0.006098949606072842
73,0.006071758924552444
74,0.006043707711167465
75,0.005859664657884457
76,0.00581712332463843
77,0.005814861332474272
78,0.00580298206481552
79,0.005802294175372444
80,0.005772948499961186
81,0.005765908768856353
82,0.0057657865475564014
83,0.005748818074746873
84,0.005664503023088536
85,0.005608259847774041
86,0.005592346335765526
87,0.005590727076137318
88,0.005552635132032435
89,0.005544469833620132
90,0.0055442983032782
91,0.005540264346243696
92,0.005540605080627901
93,0.00552620317073463
94,0.005489871403893747
95,0.005473502792023117
96,0.005465871443568749
97,0.005455500700417742
98,0.005417708890870315
99,0.0054092479471064886
100,0.0054059287418927555
