Iteration,MAE
0,0.020834975614537753
1,0.020106158734807845
2,0.01843840751613086
3,0.014214369481840277
4,0.014517626385543627
5,0.013776308356723626
6,0.011624510834770663
7,0.010796371699431234
8,0.010248425540718762
9,0.010131726555630076
10,0.010006479809569707
11,0.009570360784018793
12,0.009543456425075961
13,0.00938023880736084
14,0.009097226686589077
15,0.009171961943558009
16,0.00893986032947371
17,0.008782100534063593
18,0.007359325235943459
19,0.006963137162450618
20,0.006789951545918757
21,0.00680809758037063
22,0.006846744267617045
23,0.006769898879726193
24,0.006715896918865968
25,0.006708451332134804
26,0.0066990783297300295
27,0.006719909863788961
28,0.006606298222921687
29,0.006543764907058766
30,0.005996355362482167
31,0.005850465267683048
32,0.0058266591386435685
33,0.0058263663854910466
34,0.005617339775533969
35,0.005595063423688301
36,0.005735582189433006
37,0.005643079081491005
38,0.005643069424842506
39,0.005635269527186395
40,0.005584221284773646
41,0.005591509138375829
42,0.005584026769645171
43,0.00557248245258245
44,0.005560977441398569
45,0.005533414374601312
46,0.005530248713950572
47,0.005539213927381827
48,0.005567594375964909
49,0.005617353071325519
50,0.00565365999671766
51,0.005663795411507532
52,0.005421238746543479
53,0.005460217910643338
54,0.005461669236664534
55,0.005431020822071278
56,0.0054309672887588745
57,0.0054470588918110905
58,0.005444164603862646
59,0.005428829720922474
60,0.005326054340252571
61,0.005303519191026841
62,0.005286339112524522
63,0.00532788613132304
64,0.005383366825581148
65,0.0053393571980972524
66,0.005344080445536179
67,0.0052815198079260465
68,0.005159305312953605
69,0.0051277460229941195
70,0.005121692752676315
71,0.005065970246697962
72,0.005059764669957127
73,0.005017649548551886
74,0.005016312970841034
75,0.0050037809083955595
76,0.005000210033320722
77,0.005001274641957564
78,0.004958850341897922
